algorithm,algorithm_type,data_size_bytes,network_condition,latency_ms,cpu_load_percent,available_memory_mb,key_size_bytes,output_size_bytes,time_taken_ms,success,best_choice_label
ML-DSA-44,signature,102400,slow,104.88,15.0,6461.2,1312,2420,1.335,1,
ML-DSA-44,signature,102400,very_slow,577.57,5.0,6461.2,1312,2420,1.404,1,
ML-DSA-44,signature,1048576,fast,14.63,70.0,6460.33,1312,2420,11.547,1,
ML-DSA-44,signature,1048576,normal,61.81,42.1,6478.71,1312,2420,14.517,1,
ML-DSA-44,signature,1048576,slow,179.75,10.5,6477.75,1312,2420,11.092,1,
ML-DSA-44,signature,1048576,very_slow,261.45,5.3,6477.75,1312,2420,11.324,1,
ML-DSA-44,signature,5242880,fast,12.57,25.0,6477.75,1312,2420,52.104,1,
ML-DSA-44,signature,5242880,normal,48.63,5.3,6477.76,1312,2420,48.119,1,
ML-DSA-44,signature,5242880,slow,187.53,5.0,6476.1,1312,2420,53.679,1,
ML-DSA-44,signature,5242880,very_slow,267.26,9.5,6476.1,1312,2420,49.296,1,
ML-DSA-65,signature,1024,fast,5.84,10.5,6476.1,1952,3309,0.786,1,
ML-DSA-65,signature,1024,normal,65.23,10.0,6476.1,1952,3309,0.749,1,
ML-DSA-65,signature,1024,slow,94.15,10.0,6476.1,1952,3309,0.502,1,
ML-DSA-65,signature,1024,very_slow,506.13,0.0,6476.21,1952,3309,0.385,1,
ML-DSA-65,signature,10240,fast,12.23,10.0,6476.22,1952,3309,0.587,1,
ML-DSA-65,signature,10240,normal,48.16,10.5,6476.22,1952,3309,0.577,1,
ML-DSA-65,signature,10240,slow,83.76,10.0,6476.22,1952,3309,0.906,1,
ML-DSA-65,signature,10240,very_slow,401.23,14.3,6476.23,1952,3309,0.529,1,
ML-DSA-65,signature,102400,fast,5.82,5.3,6476.23,1952,3309,1.552,1,
ML-DSA-65,signature,102400,normal,55.65,5.3,6476.23,1952,3309,1.524,1,
ML-DSA-65,signature,102400,slow,82.73,14.3,6476.23,1952,3309,2.572,1,
ML-DSA-65,signature,102400,very_slow,536.88,5.3,6476.23,1952,3309,1.37,1,
ML-DSA-65,signature,1048576,fast,13.96,9.5,6476.23,1952,3309,10.783,1,
ML-DSA-65,signature,1048576,normal,49.86,10.0,6476.23,1952,3309,10.229,1,
ML-DSA-65,signature,1048576,slow,104.23,10.5,6476.23,1952,3309,10.104,1,
ML-DSA-65,signature,1048576,very_slow,393.9,15.8,6476.23,1952,3309,12.639,1,
ML-DSA-65,signature,5242880,fast,15.79,10.0,6474.54,1952,3309,50.086,1,
ML-DSA-65,signature,5242880,normal,52.79,10.5,6474.54,1952,3309,49.654,1,
ML-DSA-65,signature,5242880,slow,187.36,35.0,6474.7,1952,3309,72.354,1,
ML-DSA-65,signature,5242880,very_slow,403.86,5.3,6474.7,1952,3309,49.721,1,
ML-DSA-87,signature,1024,fast,12.81,10.0,6474.7,2592,4627,0.746,1,
ML-DSA-87,signature,1024,normal,34.33,10.0,6474.7,2592,4627,0.662,1,
ML-DSA-87,signature,1024,slow,176.59,15.0,6474.7,2592,4627,0.568,1,
ML-DSA-87,signature,1024,very_slow,483.06,15.0,6474.71,2592,4627,0.515,1,
ML-DSA-87,signature,10240,fast,17.92,15.8,6474.71,2592,4627,0.772,1,
ML-DSA-87,signature,10240,normal,48.58,5.0,6474.71,2592,4627,0.854,1,
ML-DSA-87,signature,10240,slow,212.82,10.0,6474.71,2592,4627,0.749,1,
ML-DSA-87,signature,10240,very_slow,251.53,20.0,6474.71,2592,4627,0.613,1,
ML-DSA-87,signature,102400,fast,14.79,5.0,6474.73,2592,4627,2.225,1,
ML-DSA-87,signature,102400,normal,79.41,10.5,6474.73,2592,4627,1.534,1,
ML-DSA-87,signature,102400,slow,199.86,10.0,6474.73,2592,4627,1.528,1,
ML-DSA-87,signature,102400,very_slow,313.24,10.0,6474.73,2592,4627,1.489,1,
ML-DSA-87,signature,1048576,fast,5.37,15.0,6473.99,2592,4627,11.191,1,
ML-DSA-87,signature,1048576,normal,77.92,10.0,6473.99,2592,4627,10.19,1,
ML-DSA-87,signature,1048576,slow,216.96,5.0,6474.0,2592,4627,12.339,1,
ML-DSA-87,signature,1048576,very_slow,568.67,0.0,6474.0,2592,4627,10.155,1,
ML-DSA-87,signature,5242880,fast,14.63,5.3,6466.32,2592,4627,51.438,1,
ML-DSA-87,signature,5242880,normal,32.72,14.3,6466.32,2592,4627,49.469,1,
ML-DSA-87,signature,5242880,slow,193.23,5.3,6466.32,2592,4627,49.361,1,
ML-DSA-87,signature,5242880,very_slow,301.86,15.0,6466.32,2592,4627,49.971,1,
